measure_time,block_height
2024-01-17 15:52:47.66387,30
2024-01-17 15:52:51.70431,30
2024-01-17 15:52:55.74749,30
2024-01-17 15:52:59.79658,30
2024-01-17 15:53:03.83706,30
2024-01-17 15:53:07.86859,30
2024-01-17 15:53:11.90743,30
2024-01-17 15:53:15.94808,30
2024-01-17 15:53:19.99033,30
2024-01-17 15:53:24.05336,30
2024-01-17 15:53:28.09675,30
2024-01-17 15:53:32.14548,30
2024-01-17 15:53:36.18821,30
2024-01-17 15:53:40.21787,30
2024-01-17 15:53:44.25956,30
2024-01-17 15:53:48.28764,30
2024-01-17 15:53:52.31876,30
2024-01-17 15:53:56.35501,30
2024-01-17 15:54:00.38266,30
2024-01-17 15:54:04.41791,30
2024-01-17 15:54:08.47399,30
2024-01-17 15:54:12.50727,30
2024-01-17 15:54:16.55094,30
2024-01-17 15:54:20.59825,30
2024-01-17 15:54:24.64401,30
2024-01-17 15:54:28.68816,30
2024-01-17 15:54:32.73797,30
2024-01-17 15:54:36.77298,30
2024-01-17 15:54:40.83942,30
2024-01-17 15:54:44.95065,30
2024-01-17 15:54:49.22112,30
2024-01-17 15:54:53.26343,30
2024-01-17 15:54:57.30015,30
2024-01-17 15:55:01.34821,30
2024-01-17 15:55:05.39390,30
2024-01-17 15:55:09.42996,30
2024-01-17 15:55:13.47741,30
2024-01-17 15:55:17.51846,30
2024-01-17 15:55:21.55852,30
2024-01-17 15:55:25.60396,30
2024-01-17 15:55:29.64125,30
2024-01-17 15:55:33.67526,30
2024-01-17 15:55:37.76731,30
2024-01-17 15:55:41.81267,30
2024-01-17 15:55:45.86736,30
2024-01-17 15:55:49.91583,30
2024-01-17 15:55:53.95676,30
2024-01-17 15:55:58.00815,30
2024-01-17 15:56:02.04962,30
2024-01-17 15:56:06.10604,30
2024-01-17 15:56:10.16998,30
2024-01-17 15:56:14.20558,30
2024-01-17 15:56:18.23649,30
2024-01-17 15:56:22.27767,30
2024-01-17 15:56:26.31450,30
2024-01-17 15:56:30.34667,30
2024-01-17 15:56:34.38778,30
2024-01-17 15:56:38.44300,30
2024-01-17 15:56:42.48080,30
2024-01-17 15:56:46.52167,30
2024-01-17 15:56:50.56266,30
2024-01-17 15:56:54.59771,30
2024-01-17 15:56:58.62688,30
2024-01-17 15:57:02.69751,30
2024-01-17 15:57:06.72241,30
2024-01-17 15:57:10.74743,30
2024-01-17 15:57:14.78137,30
2024-01-17 15:57:18.82226,30
2024-01-17 15:57:22.86880,30
2024-01-17 15:57:26.90649,30
2024-01-17 15:57:30.96806,30
2024-01-17 15:57:35.01385,30
2024-01-17 15:57:39.05769,30
2024-01-17 15:57:43.09871,30
2024-01-17 15:57:47.14748,30
